tweet_id,retweet_count,favorite_count
863079547188785154,1183,9066
863062471531167744,2648,8882
862831371563274240,5398,19905
862722525377298433,3763,17680
862457590147678208,5312,21339
862096992088072192,24881,77511
861383897657036800,11406,37502
861288531465048066,4446,17895
861005113778896900,4070,17395
860981674716409858,2301,0
860924035999428608,876,0
860563773140209665,2301,7820
860524505164394496,5635,24526
860276583193509888,3710,19028
860184849394610176,6251,17373
860177593139703809,33088,0
859924526012018688,4302,19905
859851578198683649,3745,16006
859607811541651456,1687,19355
859196978902773760,32468,93856
859074603037188101,14596,35353
858860390427611136,8728,0
858843525470990336,3731,16191
858471635011153920,5213,22472
858107933456039936,3126,16419
857989990357356544,2782,16843
857746408056729600,11394,35800
857393404942143489,1767,6200
857263160327368704,4878,20903
857214891891077121,20,240
857062103051644929,182,0
857029823797047296,4314,19790
856602993587888130,11529,0
856543823941562368,3102,17035
856526610513747968,2039,12382
856330835276025856,726,0
856288084350160898,17,538
856282028240666624,6786,28917
855862651834028034,28,353
855860136149123072,1083,4721
855857698524602368,2293,12407
855851453814013952,19041,47542
855818117272018944,5877,27891
855459453768019968,8913,31464
855245323840757760,6497,0
855138241867124737,50,0
854732716440526848,6628,24049
854482394044301312,7517,30910
854365224396361728,5108,19923
854120357044912130,8208,33694
854010172552949760,3410,17060
853760880890318849,6327,30238
853639147608842240,11143,36946
853299958564483072,3900,16414
852936405516943360,2220,0
852912242202992640,2019,9575
852672615818899456,2355,15821
852553447878664193,3846,17363
852311364735569921,10857,35106
852226086759018497,7499,21239
852189679701164033,1730,12144
851953902622658560,10606,0
851861385021730816,23,0
851591660324737024,3796,17205
851464819735769094,7777,25781
851224888060895234,6295,21965
850753642995093505,10250,33119
850380195714523136,2883,13904
850333567704068097,365,3626
850145622816686080,4210,17404
850019790995546112,5403,21811
849776966551130114,8334,32170
849668094696017920,5471,0
849412302885593088,3453,16929
849336543269576704,2082,12176
849051919805034497,7311,32420
848690551926992896,4774,26919
848324959059550208,5101,26490
848213670039564288,824,8767
848212111729840128,3411,17489
847978865427394560,3623,0
847971574464610304,477,0
847962785489326080,5679,25130
847842811428974592,1501,5894
847617282490613760,461,7505
847606175596138505,3746,20068
847251039262605312,4755,21881
847157206088847362,6507,21435
847116187444137987,3547,22952
846874817362120707,4369,21536
846514051647705089,12941,48050
846505985330044928,3451,15194
846153765933735936,10114,34144
846139713627017216,10871,33017
846042936437604353,3197,17154
845812042753855489,9777,31495
845677943972139009,5313,26969
845459076796616705,14903,0
845397057150107648,2046,8196
845306882940190720,5991,25068
845098359547420673,8552,0
844979544864018432,2884,14636
844973813909606400,3581,16254
844704788403113984,11529,41728
844580511645339650,3503,17730
844223788422217728,2436,14659
843981021012017153,3254,16217
843856843873095681,5183,23043
843604394117681152,3051,18180
843235543001513987,6788,23150
842846295480000512,3992,16344
842765311967449089,1431,7270
842535590457499648,3904,19496
842163532590374912,6497,26421
842115215311396866,3354,15104
841833993020538882,17322,0
841680585030541313,8668,27652
841439858740625411,4125,13666
841320156043304961,6045,21284
841314665196081154,5260,17169
841077006473256960,5939,24758
840761248237133825,1954,0
840728873075638272,18136,0
840698636975636481,3,196
840696689258311684,1107,13279
840632337062862849,1954,9694
840370681858686976,5106,17792
840268004936019968,6432,20807
839990271299457024,2569,14527
839549326359670784,8728,29767
839290600511926273,158,0
839239871831150596,7351,29463
838952994649550848,4468,21189
838921590096166913,2332,12098
838916489579200512,37,0
838831947270979586,12488,0
838561493054533637,1490,11812
838476387338051585,5431,24517
838201503651401729,11418,0
838150277551247360,364,1815
838085839343206401,0,149
838083903487373313,3539,19075
837820167694528512,8843,37059
837482249356513284,491,4170
837471256429613056,2601,13875
837366284874571778,5945,22899
837110210464448512,2707,17361
837012587749474308,86,0
836989968035819520,2586,13802
836753516572119041,5182,20867
836677758902222849,2497,13693
836648853927522308,619,0
836397794269200385,31024,0
836380477523124226,3304,15941
836260088725786625,4811,23021
836001077879255040,4883,20767
835685285446955009,9232,0
835574547218894849,4088,19309
835536468978302976,1924,0
835309094223372289,23747,0
835297930240217089,3362,17758
835264098648616962,1924,8440
835246439529840640,82,2249
835172783151792128,6465,28378
835152434251116546,3413,24397
834931633769889797,1863,11763
834786237630337024,6116,22818
834574053763584002,2862,14894
834477809192075265,12092,0
834458053273591808,1888,10451
834209720923721728,5419,22432
834167344700198914,4094,17092
834089966724603904,2405,10918
834086379323871233,2495,14205
833863086058651648,2706,14561
833826103416520705,3874,16628
833732339549220864,247,0
833722901757046785,3614,22447
833479644947025920,2336,16149
833124694597443584,5471,21996
832998151111966721,2499,14461
832769181346996225,44,0
832757312314028032,4094,18301
832682457690300417,3334,12926
832645525019123713,586,3177
832636094638288896,3188,17271
832397543355072512,2520,13033
832369877331693569,3623,18671
832273440279240704,2648,12299
832215909146226688,7000,0
832215726631055365,10605,0
832088576586297345,3,72
832040443403784192,11011,0
832032802820481025,4705,13789
831939777352105988,6968,26197
831926988323639298,39,368
831911600680497154,7388,30158
831670449226514432,2044,11392
831650051525054464,2220,7841
831552930092285952,2609,9815
831322785565769729,1729,9981
831315979191906304,1256,7061
831309418084069378,2761,12743
831262627380748289,2334,12981
830956169170665475,1721,8683
830583320585068544,19123,72951
830173239259324417,6489,0
830097400375152640,3431,10738
829878982036299777,5712,0
829861396166877184,2224,13362
829501995190984704,12092,34667
829449946868879360,2308,11457
829374341691346946,10606,37830
